Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
JDBC Request,14493524,1,1,4,7,10,0,4142,0.00%,120767.3,15685.6,13.99
总体,14493524,1,1,4,7,10,0,4142,0.00%,120767.3,15685.6,13.99
