Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,265291,3420,1947,9412,10341,10913,4,22492,0.00%,1307.0,412336.9,3648.96
总体,265291,3420,1947,9412,10341,10913,4,22492,0.00%,1307.0,412336.9,3648.96
