Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,305849,196,65,303,573,2573,4,14076,0.000%,2185.13517,361.99,0.00
TOTAL,305849,196,65,303,573,2573,4,14076,0.000%,2185.13517,361.99,0.00
