Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,3013224,291,27,1656,1795,2171,0,5362,0.000%,16676.48475,2778.90,0.00
TOTAL,3013224,291,27,1656,1795,2171,0,5362,0.000%,16676.48475,2778.90,0.00
