procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6486336   5244 6168836    0    0     0     0 15096 8356 15 34 51  0  0
12  0      0 6485684   5244 6169584    0    0     0     0 14728 7829 14 35 51  0  0
 0  0      0 6484236   5244 6170376    0    0     0     0 19678 10116 16 37 48  0  0
 0  0      0 6486536   5244 6171116    0    0     0     0 14036 6226 14 32 54  0  0
 0  0      0 6485540   5244 6171860    0    0     0     0 15827 8310 14 33 52  0  0
 0  0      0 6485816   5244 6172808    0    0     0     0 18819 7232 17 42 41  0  0
 0  0      0 6483796   5244 6173460    0    0     0   137 13522 7188 12 29 59  0  0
 0  0      0 6482584   5244 6174216    0    0     0     0 12372 5723 13 30 57  0  0
10  0      0 6482052   5244 6174840    0    0     0     0 16002 7343 14 34 52  0  0
 9  0      0 6481116   5244 6175672    0    0     0     0 13805 7994 12 27 61  0  0
 4  0      0 6479800   5244 6176684    0    0     0     0 22633 9322 23 58 19  0  0
 5  0      0 6478280   5244 6177688    0    0     0     0 22957 13393 21 51 28  0  0
 8  0      0 6477552   5244 6178520    0    0     0     0 19237 10304 22 51 27  0  0
 5  0      0 6476016   5244 6179692    0    0     0     0 20054 13059 19 47 34  0  0
 4  0      0 6474224   5244 6180764    0    0     0     8 24341 17302 23 53 25  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6473684   5244 6181848    0    0     0     0 21975 16178 20 45 36  0  0
10  0      0 6471756   5244 6182828    0    0     0     0 22023 15395 24 54 22  0  0
 6  0      0 6470788   5244 6183704    0    0     0    76 16124 10721 23 54 23  0  0
 0  0      0 6470280   5244 6184644    0    0     0     0 18771 13497 16 36 47  0  0
 0  0      0 6469728   5244 6184972    0    0     0     0 6562 4521  5 12 82  0  0
 0  0      0 6469620   5244 6184976    0    0     0     0 1726 2470  1  1 97  0  0
 0  0      0 6469360   5244 6184976    0    0     0     0 1541 2113  1  1 98  0  0
 0  0      0 6469168   5244 6184976    0    0     0     0 1657 2433  1  1 98  0  0
 1  0      0 6469064   5244 6184976    0    0     0     0 1613 2109  1  2 98  0  0
 0  0      0 6469228   5244 6184976    0    0     0     0 2126 3063  2  2 96  0  0
 0  0      0 6468960   5244 6185136    0    0     0     8 5387 3592  4 10 86  0  0
 7  0      0 6468392   5244 6186072    0    0     0     0 24721 10421 21 56 23  0  0
 1  0      0 6467736   5244 6186976    0    0     0     0 25753 13385 21 53 26  0  0
 6  0      0 6466164   5244 6187936    0    0     0     0 18903 13995 15 37 48  0  0
 6  0      0 6466128   5244 6188804    0    0     0     0 20822 13509 20 48 32  0  0
 0  0      0 6464376   5244 6189808    0    0     0 21692 20442 15253 20 47 31  2  0
 3  0      0 6463452   5244 6190440    0    0     0     0 16864 11364 17 39 44  0  0
 0  0      0 6464056   5244 6191508    0    0     0     0 14240 8370 18 48 34  0  0
 4  0      0 6465100   5244 6192180    0    0     0     0 10446 7692 11 29 60  0  0
 3  0      0 6463340   5244 6193104    0    0     0     0 18292 12082 18 46 36  0  0
 2  0      0 6463688   5244 6193712    0    0     0     0 13155 8720  9 22 69  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6462480   5244 6194780    0    0     0   114 26244 14667 22 54 24  0  0
 0  0      0 6460256   5244 6195728    0    0     0     0 20966 14069 18 41 41  0  0
 7  0      0 6458044   5244 6196832    0    0     0     0 22726 17659 22 53 25  0  0
10  0      0 6457296   5244 6197960    0    0     0     0 20181 14264 25 56 19  0  0
 0  0      0 6455688   5244 6198940    0    0     0     0 18795 13129 21 47 32  0  0
 4  0      0 6455144   5244 6200012    0    0     0     0 22402 15883 23 55 21  0  0
 0  0      0 6454216   5244 6200840    0    0     0     0 21113 17436 19 44 36  0  0
14  0      0 6453432   5244 6201376    0    0     0     0 7511 4558  8 15 77  0  0
 7  0      0 6451148   5244 6202476    0    0     0     0 22824 10845 20 52 28  0  0
 5  0      0 6449416   5244 6203612    0    0     0     8 25046 15306 20 52 29  0  0
 9  0      0 6449740   5244 6204544    0    0     0     0 21459 14750 18 42 40  0  0
 8  0      0 6448904   5244 6205448    0    0     0     0 24275 16635 23 53 24  0  0
14  0      0 6447724   5244 6206540    0    0     0     0 18282 10878 22 50 28  0  0
 0  0      0 6446784   5244 6207676    0    0     0     0 21112 13237 23 53 24  0  0
