Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,3064724,288,26,1547,1637,1910,0,4847,0.00%,16800.5,2799.7,580.16
总体,3064724,288,26,1547,1637,1910,0,4847,0.00%,16800.5,2799.7,580.16
