Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request asset_query,16600998,53,1,167,260,444,0,877,0.00%,91393.0,16511.4,94.75
总体,16600998,53,1,167,260,444,0,877,0.00%,91393.0,16511.4,94.75
