Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,389823,146,137,242,295,481,0,2143,0.000%,2784.68869,1312.94,0.00
TOTAL,389823,146,137,242,295,481,0,2143,0.000%,2784.68869,1312.94,0.00
