Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,8070512,110,137,166,269,408,0,3671,0.00%,43006.5,20285.3,96.43
总体,8070512,110,137,166,269,408,0,3671,0.00%,43006.5,20285.3,96.43
