Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,1580098,559,518,928,1014,1243,1,7697,0.00%,8608.2,3850.1,277.20
总体,1580098,559,518,928,1014,1243,1,7697,0.00%,8608.2,3850.1,277.20
