Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,5689415,157,22,27,28,4065,0,131201,0.00%,24512.9,10030.9,1453.94
总体,5689415,157,22,27,28,4065,0,131201,0.00%,24512.9,10030.9,1453.94
