Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,2213638,54,55,77,89,121,0,1511,0.000%,15815.99291,3273.64,0.00
TOTAL,2213638,54,55,77,89,121,0,1511,0.000%,15815.99291,3273.64,0.00
