Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,1217576,21,7,32,53,228,0,7157,0.000%,8699.33268,1801.03,0.00
TOTAL,1217576,21,7,32,53,228,0,7157,0.000%,8699.33268,1801.03,0.00
