Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,8088941,10,10,18,23,36,0,1078,0.00%,44924.1,21189.8,10.78
总体,8088941,10,10,18,23,36,0,1078,0.00%,44924.1,21189.8,10.78
