Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,248611,241,168,334,461,868,3,13108,0.000%,1776.28768,357.88,0.00
TOTAL,248611,241,168,334,461,868,3,13108,0.000%,1776.28768,357.88,0.00
