Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,1219074,8,1,5,14,85,0,3086,0.000%,8709.91112,1480.00,0.00
TOTAL,1219074,8,1,5,14,85,0,3086,0.000%,8709.91112,1480.00,0.00
