Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,192641,4608,4677,4895,4964,5087,1043,6277,0.000%,1041.96731,316500.62,0.00
TOTAL,192641,4608,4677,4895,4964,5087,1043,6277,0.000%,1041.96731,316500.62,0.00
