Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,209924,4239,4358,4672,4770,4911,5,5116,0.000%,1135.01882,344765.29,0.00
TOTAL,209924,4239,4358,4672,4770,4911,5,5116,0.000%,1135.01882,344765.29,0.00
