Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,189104,4557,4816,5033,5090,5181,114,5328,0.000%,1024.24889,311118.60,0.00
TOTAL,189104,4557,4816,5033,5090,5181,114,5328,0.000%,1024.24889,311118.60,0.00
