Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,927213,94,68,135,217,423,10,4955,0.00%,5148.2,1039.5,121.01
总体,927213,94,68,135,217,423,10,4955,0.00%,5148.2,1039.5,121.01
