Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,200332,299,235,361,421,1497,3,12964,0.000%,1431.33136,162.77,0.00
TOTAL,200332,299,235,361,421,1497,3,12964,0.000%,1431.33136,162.77,0.00
