Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,2444298,360,367,414,428,457,3,793,0.00%,13450.5,1544.0,63.65
总体,2444298,360,367,414,428,457,3,793,0.00%,13450.5,1544.0,63.65
