Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,99713,8996,9092,11186,11574,11864,25,12173,0.000%,528.72899,173473.71,0.00
TOTAL,99713,8996,9092,11186,11574,11864,25,12173,0.000%,528.72899,173473.71,0.00
