Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,85736,10561,11052,11683,11879,12294,8,13368,0.00%,447.2,146708.9,2043.93
总体,85736,10561,11052,11683,11879,12294,8,13368,0.00%,447.2,146708.9,2043.93
