Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_list,101704,8819,9017,10755,10909,11275,5,11602,0.000%,539.35778,176960.97,0.00
TOTAL,101704,8819,9017,10755,10909,11275,5,11602,0.000%,539.35778,176960.97,0.00
