Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,1543900,56,57,62,65,74,1,332,0.00%,8572.5,1082.3,10.66
总体,1543900,56,57,62,65,74,1,332,0.00%,8572.5,1082.3,10.66
