Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_list,296372,3057,1203,9322,10764,11636,5,23878,0.00%,1321.0,416746.7,3649.36
总体,296372,3057,1203,9322,10764,11636,5,23878,0.00%,1321.0,416746.7,3649.36
