Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request account_add,478462,123,124,178,206,279,1,2009,0.000%,3418.58687,1205.19,0.00
TOTAL,478462,123,124,178,206,279,1,2009,0.000%,3418.58687,1205.19,0.00
