Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_query,7824486,113,111,170,251,353,0,956,0.00%,42655.1,16870.4,64.48
总体,7824486,113,111,170,251,353,0,956,0.00%,42655.1,16870.4,64.48
