Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
JDBC Request,9334016,2,2,4,5,8,0,837,0.00%,77745.2,835.2,3.85
总体,9334016,2,2,4,5,8,0,837,0.00%,77745.2,835.2,3.85
