Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request asset_query,22901643,41,0,6,23,481,0,131204,0.00%,94551.3,14689.3,1315.11
总体,22901643,41,0,6,23,481,0,131204,0.00%,94551.3,14689.3,1315.11
