prepareData 耗时(毫秒),truncateTables 耗时(毫秒),insertOrder 耗时(毫秒),insertCustom 耗时(毫秒),insertProduct 耗时(毫秒),insertWarehouse 耗时(毫秒),selectOrders conn 耗时(毫秒),selectOrders executeQuery 耗时(毫秒),selectOrders ResultSet遍历 耗时(毫秒),selectOrders 总耗时(毫秒),selectOrders 件数,selectCustoms conn 耗时(毫秒),selectCustoms executeQuery 耗时(毫秒),selectCustoms ResultSet遍历 耗时(毫秒),selectCustoms 总耗时(毫秒),selectCustoms 件数,selectProducts conn 耗时(毫秒),selectProducts executeQuery 耗时(毫秒),selectProducts ResultSet遍历 耗时(毫秒),selectProducts 总耗时(毫秒),selectProducts 件数,selectWarehouses conn 耗时(毫秒),selectWarehouses executeQuery 耗时(毫秒),selectWarehouses ResultSet遍历 耗时(毫秒),selectWarehouses 总耗时(毫秒),selectWarehouses 件数,selectOrderJoinCustom conn 耗时(毫秒),selectOrderJoinCustom executeQuery 耗时(毫秒),selectOrderJoinCustom ResultSet遍历 耗时(毫秒),selectOrderJoinCustom 总耗时(毫秒),selectOrderJoinCustom 件数,selectOrderJoinProduct conn 耗时(毫秒),selectOrderJoinProduct executeQuery 耗时(毫秒),selectOrderJoinProduct ResultSet遍历 耗时(毫秒),selectOrderJoinProduct 总耗时(毫秒),selectOrderJoinProduct 件数,selectOrderJoinWarehouse conn 耗时(毫秒),selectOrderJoinWarehouse executeQuery 耗时(毫秒),selectOrderJoinWarehouse ResultSet遍历 耗时(毫秒),selectOrderJoinWarehouse 总耗时(毫秒),selectOrderJoinWarehouse 件数,selectOrderWithOrderBy conn 耗时(毫秒),selectOrderWithOrderBy executeQuery 耗时(毫秒),selectOrderWithOrderBy ResultSet遍历 耗时(毫秒),selectOrderWithOrderBy 总耗时(毫秒),selectOrderWithOrderBy 件数
0,88,10899,968,131,2,1,654,26,681,1000000,1,42,2,46,100000,1,3,0,4,10000,1,0,0,1,100,1,1888,6,1896,1000000,1,3175,19,3197,1000000,1,14893,8,14905,1000000,1,285,5,293,1000000
0,15,10544,963,138,3,1,646,9,657,1000000,1,51,0,54,100000,1,3,0,5,10000,1,0,0,1,100,1,1876,7,1885,1000000,1,3036,7,3046,1000000,1,14880,6,14888,1000000,1,284,4,291,1000000
0,15,10358,972,133,2,1,640,9,651,1000000,1,43,0,45,100000,1,3,0,4,10000,1,0,0,1,100,1,1932,7,1941,1000000,1,3081,6,3090,1000000,1,15071,7,15080,1000000,1,283,4,289,1000000
0,16,10466,979,132,3,1,644,9,655,1000000,1,42,0,45,100000,1,3,0,5,10000,0,0,0,0,100,0,1937,6,1945,1000000,1,3101,6,3109,1000000,1,14764,7,14773,1000000,1,283,4,289,1000000
0,14,10377,975,131,3,1,660,8,671,1000000,1,50,0,53,100000,1,3,0,4,10000,0,0,0,0,100,0,1948,7,1956,1000000,2,3101,6,3110,1000000,1,14771,6,14780,1000000,1,285,4,291,1000000
