prepareData 耗时(毫秒),truncateTables 耗时(毫秒),insertOrder 耗时(毫秒),insertCustom 耗时(毫秒),insertProduct 耗时(毫秒),insertWarehouse 耗时(毫秒),selectOrders conn 耗时(毫秒),selectOrders executeQuery 耗时(毫秒),selectOrders ResultSet遍历 耗时(毫秒),selectOrders 总耗时(毫秒),selectOrders 件数,selectCustoms conn 耗时(毫秒),selectCustoms executeQuery 耗时(毫秒),selectCustoms ResultSet遍历 耗时(毫秒),selectCustoms 总耗时(毫秒),selectCustoms 件数,selectProducts conn 耗时(毫秒),selectProducts executeQuery 耗时(毫秒),selectProducts ResultSet遍历 耗时(毫秒),selectProducts 总耗时(毫秒),selectProducts 件数,selectWarehouses conn 耗时(毫秒),selectWarehouses executeQuery 耗时(毫秒),selectWarehouses ResultSet遍历 耗时(毫秒),selectWarehouses 总耗时(毫秒),selectWarehouses 件数,selectOrderJoinCustom conn 耗时(毫秒),selectOrderJoinCustom executeQuery 耗时(毫秒),selectOrderJoinCustom ResultSet遍历 耗时(毫秒),selectOrderJoinCustom 总耗时(毫秒),selectOrderJoinCustom 件数,selectOrderJoinProduct conn 耗时(毫秒),selectOrderJoinProduct executeQuery 耗时(毫秒),selectOrderJoinProduct ResultSet遍历 耗时(毫秒),selectOrderJoinProduct 总耗时(毫秒),selectOrderJoinProduct 件数,selectOrderJoinWarehouse conn 耗时(毫秒),selectOrderJoinWarehouse executeQuery 耗时(毫秒),selectOrderJoinWarehouse ResultSet遍历 耗时(毫秒),selectOrderJoinWarehouse 总耗时(毫秒),selectOrderJoinWarehouse 件数,selectOrderWithOrderBy conn 耗时(毫秒),selectOrderWithOrderBy executeQuery 耗时(毫秒),selectOrderWithOrderBy ResultSet遍历 耗时(毫秒),selectOrderWithOrderBy 总耗时(毫秒),selectOrderWithOrderBy 件数
0,123,17842,1613,109,5,3,386,28,419,1000000,4,26,2,33,100000,4,3,0,8,10000,3,0,0,4,100,3,562,18,585,1000000,4,401,8,414,1000000,3,433,8,445,1000000,4,245,6,256,1000000
0,37,17438,1530,112,4,2,363,9,375,1000000,3,25,0,29,100000,3,2,0,5,10000,3,0,0,3,100,2,535,8,546,1000000,3,402,10,416,1000000,3,455,11,470,1000000,4,242,5,253,1000000
0,38,17256,1575,121,4,3,368,11,384,1000000,4,27,1,33,100000,3,2,0,5,10000,2,0,0,3,100,2,556,8,568,1000000,3,415,8,427,1000000,3,438,8,450,1000000,3,248,6,257,1000000
0,38,17153,1561,113,5,3,353,9,367,1000000,3,25,0,30,100000,3,2,0,5,10000,3,0,0,3,100,2,544,8,556,1000000,3,395,8,407,1000000,4,387,8,399,1000000,4,320,9,334,1000000
0,41,17207,1625,106,4,3,375,15,394,1000000,3,28,0,33,100000,3,2,0,5,10000,3,0,0,3,100,2,538,8,550,1000000,3,408,9,420,1000000,3,444,11,459,1000000,3,251,6,261,1000000
