prepareData 耗时(毫秒),truncateTables 耗时(毫秒),insertOrder 耗时(毫秒),insertCustom 耗时(毫秒),insertProduct 耗时(毫秒),insertWarehouse 耗时(毫秒),selectOrders conn 耗时(毫秒),selectOrders executeQuery 耗时(毫秒),selectOrders ResultSet遍历 耗时(毫秒),selectOrders 总耗时(毫秒),selectOrders 件数,selectCustoms conn 耗时(毫秒),selectCustoms executeQuery 耗时(毫秒),selectCustoms ResultSet遍历 耗时(毫秒),selectCustoms 总耗时(毫秒),selectCustoms 件数,selectProducts conn 耗时(毫秒),selectProducts executeQuery 耗时(毫秒),selectProducts ResultSet遍历 耗时(毫秒),selectProducts 总耗时(毫秒),selectProducts 件数,selectWarehouses conn 耗时(毫秒),selectWarehouses executeQuery 耗时(毫秒),selectWarehouses ResultSet遍历 耗时(毫秒),selectWarehouses 总耗时(毫秒),selectWarehouses 件数,selectOrderJoinCustom conn 耗时(毫秒),selectOrderJoinCustom executeQuery 耗时(毫秒),selectOrderJoinCustom ResultSet遍历 耗时(毫秒),selectOrderJoinCustom 总耗时(毫秒),selectOrderJoinCustom 件数,selectOrderJoinProduct conn 耗时(毫秒),selectOrderJoinProduct executeQuery 耗时(毫秒),selectOrderJoinProduct ResultSet遍历 耗时(毫秒),selectOrderJoinProduct 总耗时(毫秒),selectOrderJoinProduct 件数,selectOrderJoinWarehouse conn 耗时(毫秒),selectOrderJoinWarehouse executeQuery 耗时(毫秒),selectOrderJoinWarehouse ResultSet遍历 耗时(毫秒),selectOrderJoinWarehouse 总耗时(毫秒),selectOrderJoinWarehouse 件数,selectOrderWithOrderBy conn 耗时(毫秒),selectOrderWithOrderBy executeQuery 耗时(毫秒),selectOrderWithOrderBy ResultSet遍历 耗时(毫秒),selectOrderWithOrderBy 总耗时(毫秒),selectOrderWithOrderBy 件数
0,557,26693,2136,156,6,0,528,25,555,1000000,1,50,3,55,100000,0,9,0,11,10000,1,1,0,2,100,1,457,35,494,1000000,1,520,31,553,1000000,1,451,27,480,1000000,1,795,26,822,1000000
0,335,25546,2075,153,6,1,581,26,609,1000000,1,84,2,88,100000,1,11,0,12,10000,1,1,0,2,100,0,485,26,512,1000000,1,431,37,471,1000000,1,504,27,533,1000000,1,706,24,732,1000000
0,335,25837,2062,146,6,1,517,26,545,1000000,1,69,2,73,100000,1,10,0,12,10000,1,0,0,2,100,1,529,36,566,1000000,1,489,28,519,1000000,1,499,30,531,1000000,1,780,25,807,1000000
0,337,25609,2133,148,7,1,564,26,592,1000000,1,71,2,75,100000,1,10,0,12,10000,1,0,0,2,100,1,482,26,509,1000000,1,433,27,461,1000000,1,524,30,556,1000000,1,720,27,748,1000000
0,340,26208,2156,156,5,0,519,26,547,1000000,1,74,3,79,100000,1,10,0,13,10000,1,0,0,2,100,1,546,32,580,1000000,1,537,31,570,1000000,1,454,28,484,1000000,0,809,27,837,1000000
