Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
JDBC Request,11318578,1,1,6,9,14,0,965,0.00%,94303.4,11787.9,4.44
总体,11318578,1,1,6,9,14,0,965,0.00%,94303.4,11787.9,4.44
