procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 6758460   5244 5963540    0    0     0     0 11447 2694  9 33 58  0  0
 3  0      0 6756748   5244 5963540    0    0     0     0 13963 2966 10 37 53  0  0
 9  0      0 6755944   5244 5963540    0    0     0     0 12123 3762 11 36 54  0  0
 4  0      0 6756152   5244 5963540    0    0     0     0 10356 2805 11 40 50  0  0
 1  0      0 6756228   5244 5963540    0    0     0     0 12096 3271 10 38 52  0  0
 2  0      0 6753284   5244 5963540    0    0     0     0 11828 2943 10 38 53  0  0
 6  0      0 6756244   5244 5963540    0    0     0     0 12489 3112 11 34 55  0  0
 6  0      0 6755764   5244 5963540    0    0     0     0 11866 3316 10 37 53  0  0
 3  0      0 6754964   5244 5963540    0    0     0     0 10595 3035 10 37 53  0  0
 2  0      0 6755928   5244 5963540    0    0     0     0 12067 2802 10 36 54  0  0
 2  0      0 6758552   5244 5963540    0    0     0     0 11902 3210 11 37 52  0  0
 7  0      0 6756720   5244 5963540    0    0     0     0 10264 2163 10 41 49  0  0
 1  0      0 6756712   5244 5963540    0    0     0     0 12470 3936 11 37 53  0  0
 1  0      0 6757908   5244 5963540    0    0     0     0 12547 3124  9 37 54  0  0
12  0      0 6757516   5244 5963540    0    0     0     0 10375 2814 10 35 56  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 6756132   5244 5963672    0    0     0     0 9415 2659 10 43 47  0  0
 1  0      0 6755724   5244 5963672    0    0     0     0 10932 3094 11 39 50  0  0
 3  0      0 6753904   5244 5963672    0    0     0     0 12447 3539 11 37 52  0  0
 1  0      0 6755688   5244 5963672    0    0     0     0 12272 3151 10 37 53  0  0
 2  0      0 6754176   5244 5963672    0    0     0     2 10907 3310 12 38 50  0  0
 2  0      0 6754228   5244 5963676    0    0     0     0 10540 3118 11 36 53  0  0
 2  0      0 6754296   5244 5963676    0    0     0     4 11127 3184 10 38 52  0  0
 2  0      0 6754424   5244 5963676    0    0     0     0 11509 3528 11 38 51  0  0
 1  0      0 6755208   5244 5963676    0    0     0     0 12816 3234 10 35 55  0  0
 3  0      0 6754880   5244 5963676    0    0     0     0 12307 3038 10 35 56  0  0
 2  0      0 6755020   5244 5963700    0    0     0     0 11064 3007 11 40 50  0  0
 4  0      0 6756432   5244 5963692    0    0     0    16 10795 2829 10 34 56  0  0
 2  0      0 6755516   5244 5963692    0    0     0     0 12161 3419 10 34 56  0  0
 1  0      0 6755776   5244 5963692    0    0     0     0 11611 3013  9 34 57  0  0
 3  0      0 6753344   5244 5963692    0    0     0     0 11649 3093 12 42 46  0  0
 2  0      0 6753384   5244 5963692    0    0     0     0 11905 3068 11 36 53  0  0
 7  0      0 6754292   5244 5963692    0    0     0     8 11438 2679  9 41 50  0  0
 2  0      0 6753688   5244 5963692    0    0     0     0 13014 3239 10 37 53  0  0
 2  0      0 6753528   5244 5963692    0    0     0     0 11788 2948 11 37 53  0  0
 2  0      0 6753408   5244 5963688    0    0     0     0 11994 3163 11 36 53  0  0
 2  0      0 6753316   5244 5963688    0    0     0     0 11430 2926 10 39 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
