Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request asset_query,2260290,53,52,76,96,133,0,1141,0.000%,16150.00429,1924.12,0.00
TOTAL,2260290,53,52,76,96,133,0,1141,0.000%,16150.00429,1924.12,0.00
