Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request asset_query,16590405,53,1,165,264,446,0,708,0.00%,91108.5,10854.7,94.56
总体,16590405,53,1,165,264,446,0,708,0.00%,91108.5,10854.7,94.56
