Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,4149806,21,19,31,38,55,1,10074,0.00%,22946.6,4653.0,75.88
总体,4149806,21,19,31,38,55,1,10074,0.00%,22946.6,4653.0,75.88
