Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
HTTP Request account_add,5411196,16,16,26,32,48,0,192,0.00%,30051.5,6097.3,9.01
总体,5411196,16,16,26,32,48,0,192,0.00%,30051.5,6097.3,9.01
